Time,Force,D1,D2,D3,D4,D5,D6,D7,D8
0,0,0,0,0,0,0,0,0,0
0.0002,0,0,0,0.001185873,0,0,0,0,0
0.0004,0,0,0,0.001771939,0,0,0,0,0
0.0006,0,0,0,0.00230621,0,0,0,0,0
0.0008,0,0,0,0.003256331,0,0,0,0,0
0.001,0,0,0,0.005576626,0,0,0,0,0
0.0012,0,0,0,0.008871454,0,0,0,0,0
0.0014,0,0,0,0.011587873,0,0,0,0,0
0.0016,0,0,0,0.014362332,0,0,0,0,0
0.0018,0,0,0,0.016729719,0,0,0,0,0
0.002,0,0,0,0.018290685,0,0,0,0,0
0.0022,0,0,0,0.019579496,0,0,0,0,0
0.0024,0,0,0,0.020868951,0,0,0,0,0
0.0026,0,0,0,0.022438957,0,0,0,0,0
0.0028,0,0,0,0.02541864,0,0,0,0,0
0.003,0,0,0,0.028876801,0,0,0,0,0
0.0032,0,0,0,0.032349561,0,0,0,0,0
0.0034,0,0,0,0.035312896,0,0,0,0,0
0.0036,0,0,0,0.036646866,0,0,0,0,0
0.0038,0,0,0,0.037232767,0,0,0,0,0
0.004,0,0,0,0.037818805,0,0,0,0,0
0.0042,74.26830697,0,0,0.038770182,0,0,0,0,0
0.0044,445.6174091,0,0,0.040528312,0,0,0,0,0
0.0046,931.0834798,0,0,0.042520328,0,0.000762507,0,0,0
0.0048,1413.580363,0,0,0.044587163,0,0.000924971,0,0,0
0.005,1863.387698,0.00121775,0,0.047491037,0,0.001307909,0,0,0
0.0052,2211.788401,0.007193146,0,0.05095911,0,0.002456122,0,0,0
0.0054,2471.533705,0.017363072,0.00256272,0.054806448,0,0.004032884,0,0,0
0.0056,2796.76696,0.033775571,0.009850264,0.060081429,0,0.006125073,0,0,0
0.0058,3211.417223,0.057072583,0.021927592,0.067692443,0.004035149,0.009649385,0,0,0
0.006,3515.800879,0.088195782,0.040722144,0.08074007,0.012332865,0.015185413,0,0,0
0.0062,3736.267194,0.127033509,0.066531166,0.100690861,0.025061629,0.023222906,0,0,0
0.0064,3960.55,0.1751,0.0993,0.1279,0.04325,0.03425,0.00135,0,0
0.0066,4201.22812,0.233111189,0.139594552,0.162567663,0.067553017,0.04951031,0.005320562,0,-0.000470357
0.0068,4409.115641,0.302196134,0.188480316,0.204381371,0.098029877,0.069990685,0.011577153,0,-0.001374868
0.007,4659.054657,0.382633743,0.246403163,0.254797188,0.135399473,0.096427065,0.020372408,5.06151E-05,-0.001601582
0.0072,4935.45536,0.475596837,0.314710135,0.315029174,0.180817165,0.128961336,0.033630756,0.004043585,-0.001737493
0.0074,5163.931477,0.579647948,0.393322567,0.383701231,0.23375041,0.168094842,0.050385053,0.009532532,-0.001756272
0.0076,5392.411599,0.695046983,0.482672994,0.461459578,0.294942589,0.214010076,0.070954892,0.015881781,-0.001234329
0.0078,5672.271002,0.823389104,0.582403515,0.549403339,0.36444464,0.266781019,0.095957821,0.023942707,-0.000718805
0.008,5943.907151,0.96465551,0.693139156,0.647162485,0.442484994,0.326920223,0.12545381,0.035214009,0.000275147
0.0082,6173.151787,1.117786233,0.815148975,0.75616157,0.529319566,0.394794728,0.159665319,0.049360808,0.002235911
0.0084,6349.8,1.28127163,0.948027491,0.876809906,0.62641524,0.470917351,0.199699004,0.06634197,0.005787104
0.0086,6530.731693,1.452125483,1.090594669,1.007382601,0.733037903,0.554996544,0.24525495,0.086345987,0.010475571
0.0088,6673.499121,1.627802109,1.240635677,1.146911599,0.848126362,0.647303515,0.296413708,0.110228822,0.017224253
0.009,6816.331477,1.807060961,1.395457503,1.29284279,0.970573798,0.74663136,0.353223329,0.138188218,0.026149179
0.0092,6959.174107,1.988190334,1.553418102,1.442302343,1.098489514,0.852161043,0.415166608,0.169813005,0.036818922
0.0094,7077.503341,2.169544842,1.713488335,1.593056858,1.230171864,0.962962134,0.482371161,0.205288277,0.049351114
0.0096,7214.289279,2.350597598,1.874070006,1.744318922,1.363716755,1.076914353,0.554884417,0.24505536,0.064127065
0.0098,7359.357821,2.531256063,2.033990334,1.895737786,1.497753076,1.191735677,0.631317926,0.289160808,0.08153304
0.01,7544.811606,2.712040035,2.194267526,2.047395369,1.632185463,1.307184877,0.710911899,0.336820281,0.101706917
0.0102,7697.535267,2.892789865,2.355126596,2.199230931,1.767411541,1.424043644,0.792650088,0.387642648,0.124643117
0.0104,7817.488401,3.072496954,2.515618688,2.351732396,1.902947569,1.542262742,0.875743234,0.441022847,0.150302168
0.0106,7956.170064,3.250166608,2.675498653,2.505372818,2.039195313,1.662084944,0.960618981,0.496835032,0.179148272
0.0108,8070.31652,3.424563796,2.834505097,2.658924077,2.176043585,1.781822496,1.046439719,0.554259754,0.209892267
0.011,8162.511606,3.595592673,2.991436635,2.811205451,2.312333822,1.901898124,1.132820516,0.613308441,0.241896366
0.0112,8219.641066,3.762222789,3.145597071,2.960709256,2.446070767,2.020969889,1.219905448,0.673516286,0.27553966
0.0114,8276.779906,3.923891213,3.296659754,3.106335501,2.576278149,2.138073579,1.306677563,0.734010721,0.310820269
0.0116,8333.887046,4.080568113,3.443332181,3.247187515,2.70295721,2.253158558,1.393401055,0.794981419,0.346746249
0.0118,8422.20826,4.232384007,3.584292091,3.382987522,2.825653427,2.366042707,1.48017768,0.856695431,0.383214763
0.012,8544.084818,4.380784584,3.720935346,3.51434197,2.945430129,2.476561958,1.565463482,0.918521102,0.420322626
0.0122,8675.13638,4.526729643,3.854303515,3.641781136,3.062563093,2.58414505,1.649491564,0.980825659,0.45873304
0.0124,8773.362507,4.670612478,3.985523199,3.766683304,3.177965554,2.688669947,1.732425366,1.042580785,0.498011306
0.0126,8838.835932,4.812984291,4.116001758,3.889983763,3.292040563,2.790643904,1.813252521,1.103337866,0.53776061
0.0128,8896,4.9535,4.2461,4.0125,3.4046,2.8908,1.8922,1.1632,0.578
0.013,8948.890621,5.089055862,4.374497128,4.133604045,3.515592673,2.989372157,1.969415064,1.221901465,0.618005041
