Time,Force,D1,D2,D3,D4,D5,D6,D7
0,0,0,0,0,0,0,0,0
0.0002,0,0,0,0,0,0,0,0
0.0004,0,0,0,0,0,0,0,0
0.0006,0,-0.003937006,0,0,0,0,0,0
0.0008,0,-0.003937008,0,0,0,-0.003937008,0,0
0.001,0,-0.003937008,0,0,-0.003937008,-0.003937008,0,0
0.0012,0,-0.003937008,-0.003937004,0,-0.003937008,-0.003937008,0,0
0.0014,0,-0.003937008,-0.003937008,0,-0.003937008,-0.003937008,0,0
0.0016,3.971850158,-0.007874016,-0.003937008,0,-0.003937008,-0.003937008,0,0
0.0018,11.91555023,-0.007874016,-0.003937008,0,-0.003937008,-0.003937008,0,0
0.002,23.83111191,-0.007874016,-0.003937008,0,-0.003937008,-0.003937008,0,0
0.0022,39.71851731,-0.007874016,-0.003937008,0,-0.003937008,-0.007874016,0,0
0.0024,59.57777413,-0.011811025,-0.003937008,0,-0.003937008,-0.007874016,0,0
0.0026,87.38072221,-0.011811025,-0.003937008,0,-0.007874016,-0.007874016,0,0
0.0028,115.1837158,-0.015748031,-0.003937008,0,-0.007874016,-0.007874016,0,0
0.003,150.9303741,-0.015748031,-0.003937008,0,-0.007874016,-0.007874016,0,0
0.0032,190.6488839,-0.015748031,-0.003937008,0,-0.007874016,-0.007874016,0,0
0.0034,234.3392413,-0.011811025,-0.003937008,0,-0.007874016,-0.007874016,0,0
0.0036,282.00145,-0.007874027,0,0.003936997,-0.007874016,-0.011811025,0,0
0.0038,329.6637421,0,0.003937008,0.003937008,-0.007874016,-0.011811025,0,0.003937008
0.004,385.2696533,0.007874016,0.007874016,0.003937008,-0.007874016,-0.011811025,0,0.003937008
0.0042,444.8473212,0.023622026,0.011811025,0.007874016,-0.007874016,-0.011811025,0,0.003937008
0.0044,508.397034,0.043307073,0.019685039,0.011811025,-0.007874016,-0.011811025,0,0
0.0046,579.8904186,0.066929146,0.03149607,0.019685046,-0.007874016,-0.015748031,0,0
0.0048,659.3273777,0.094488166,0.047244083,0.027559055,-0.007874016,-0.015748031,0,0
0.005,746.7081909,0.129921257,0.070866145,0.039370079,-0.003937008,-0.015748031,-0.003937008,0
0.0052,846.0042966,0.177165291,0.09842515,0.055118087,0,-0.015748031,-0.003937008,0.003937008
0.0054,953.244454,0.228346445,0.133858256,0.070866138,0.003937008,-0.015748031,-0.003937008,0.003937008
0.0056,1076.372008,0.295275629,0.173228368,0.090551198,0.011811025,-0.011811025,-0.003937008,0.003937008
0.0058,1207.442872,0.370078697,0.216535389,0.11811021,0.015748031,-0.011811025,-0.003937008,0.003937008
0.006,1358.373413,0.46062991,0.271653533,0.145669296,0.027559055,-0.011811025,-0.003937008,0
0.0062,1517.24721,0.566929004,0.330708593,0.18110232,0.035433073,-0.007874016,-0.003937008,0
0.0064,1695.980752,0.688976347,0.405511789,0.220472425,0.051181097,-0.003937015,-0.003937008,0
0.0066,1894.573462,0.83070875,0.484252021,0.267716579,0.062992141,0,-0.003937008,0
0.0068,2109.053255,0.992125823,0.57874009,0.31889762,0.082677156,0.003936993,-0.003937008,0
0.007,2343.392578,1.177165389,0.685039341,0.377952784,0.102362208,0.007874016,-0.003937008,0
0.0072,2593.619021,1.385826511,0.807086407,0.448818809,0.125984206,0.011811025,-0.003937008,0
0.0074,2863.705186,1.622047185,0.940944783,0.527559065,0.153543293,0.019685039,-0.003937008,-0.003937008
0.0076,3149.678854,1.881889836,1.098425225,0.614173279,0.185039401,0.027559062,0,-0.003937008
0.0078,3451.539019,2.173227978,1.267716362,0.716535344,0.220472395,0.039370064,0,-0.003937008
0.008,3773.259277,2.492125988,1.456692934,0.826771677,0.259842515,0.047244098,0,-0.003937008
0.0082,4110.867033,2.842520106,1.665354463,0.952756048,0.307086662,0.059055135,0.003937008,-0.003937008
0.0084,4460.388648,3.220471448,1.893700162,1.090550852,0.35826759,0.074803106,0.003937008,-0.007874016
0.0086,4821.827429,3.625983412,2.141731974,1.240157185,0.4212597,0.090551153,0.007874016,-0.007874016
0.0088,5183.266253,4.062991675,2.413385597,1.405511691,0.488188937,0.11023619,0.007874016,-0.007874016
0.009,5548.677246,4.519685268,2.700787306,1.586614132,0.562992156,0.129921257,0.011811025,-0.007874016
0.0092,5914.087751,5.000000466,3.011811319,1.779527741,0.649606362,0.157480344,0.011811025,-0.007874016
0.0094,6275.525367,5.496061791,3.334644802,1.992125476,0.744094176,0.188976302,0.011811025,-0.007874016
0.0096,6625.04868,6.003936284,3.677164848,2.21653488,0.846456497,0.224409371,0.015748031,-0.007874016
0.0098,6962.656419,6.52362154,4.023621705,2.448818696,0.96062976,0.263779506,0.019685039,-0.007874016
0.01,7284.376465,7.047244072,4.38188982,2.692913532,1.082677126,0.311023623,0.023622049,-0.011811025
0.0102,7582.265882,7.570866602,4.744094716,2.94488217,1.22047259,0.366141797,0.023622064,-0.011811025
0.0104,7852.350839,8.09054994,5.106297891,3.204723787,1.362204386,0.429133712,0.031496018,-0.011811025
0.0106,8102.577672,8.606298413,5.468503741,3.468503443,1.515747725,0.49999988,0.035433073,-0.011811025
0.0108,8321.030077,9.102361215,5.826771392,3.732283338,1.673228233,0.578740105,0.043307088,-0.011811025
0.011,8515.650391,9.57874012,6.177165508,3.996062994,1.838582754,0.665354311,0.05511811,-0.011811025
0.0112,8678.497206,10.03543419,6.523622365,4.259843127,2.007874177,0.759842665,0.07086616,-0.011811025
0.0114,8813.539677,10.46850274,6.858266841,4.523621273,2.18110202,0.858267515,0.090551093,-0.011811025
0.0116,8920.779116,10.87401506,7.17716491,4.779527185,2.358267455,0.964566737,0.114173174,-0.011811025
0.0118,9004.188402,11.24803128,7.480314448,5.027559041,2.53936988,1.074803128,0.14173226,-0.015748031
0.012,9059.793945,11.59055138,7.76377964,5.26377964,2.71653533,1.192913413,0.173228353,-0.015748031
0.0122,9099.51271,11.8976386,8.023622752,5.492126197,2.893701018,1.314960838,0.212598458,-0.015748031
0.0124,9115.400346,12.1732285,8.263779012,5.708660928,3.070865614,1.44094467,0.251968413,-0.015748031
0.0126,9119.37207,12.42125943,8.484251557,5.909448741,3.244094281,1.570865958,0.303149491,-0.015748031
0.0128,9115.400391,12.63385754,8.681102573,6.098425208,3.409448712,1.70078729,0.354330659,-0.015748031
0.013,9099.512695,12.82283497,8.858267784,6.271653652,3.570866346,1.830708623,0.413385838,-0.015748031
0.0132,9083.625947,12.98818889,9.01968588,6.429134042,3.724409477,1.960630075,0.476378024,-0.011811025
0.0134,9063.766647,13.1299206,9.157479881,6.574802948,3.870078398,2.090551017,0.543306842,-0.007874016
0.0136,9043.907257,13.25196817,9.279527455,6.704724073,4.007873743,2.216535091,0.614173084,-2.99211E-08
0.0138,9028.019546,13.35826864,9.385826975,6.818897619,4.133858084,2.34251964,0.688976332,0.007874001
0.014,9016.104492,13.45275593,9.480315208,6.925197124,4.251968384,2.46062994,0.767716527,0.015748031
0.0142,9012.131836,13.53936965,9.566928939,7.019685343,4.362205119,2.578740225,0.850393788,0.031496063
0.0144,9016.104447,13.6220472,9.649606481,7.106299131,4.460629671,2.685039251,0.933070629,0.043307043
0.0146,9028.019501,13.70472416,9.728346675,7.188976615,4.55118066,2.791338473,1.01968485,0.062992066
0.0148,9051.850571,13.78740206,9.80708687,7.263779565,4.633858606,2.885826736,1.106299191,0.078740142
0.015,9083.625977,13.86614227,9.881889343,7.334645748,4.712598801,2.976377964,1.192913413,0.102362208
0.0152,9119.3721,13.94881923,9.956693724,7.405511931,4.783464492,3.059055403,1.283464745,0.125984281
0.0154,9163.062364,14.03149578,10.0275591,7.472441016,4.850393592,3.137795224,1.370078414,0.153543218
